Double, -1, 10000, 0, 0, 0, 0, 0, 0, 1, 100, 100
2011-01-01T12:00:10Z, 2011-01-01T12:00:10Z, Good, Raw, Double, 399.81
2011-01-01T12:12:40Z, 2011-01-01T12:12:40Z, Good, Raw, Double, 388.77
2011-01-01T12:12:50Z, 2011-01-01T12:12:50Z, Good, Raw, Double, 440.57
2011-01-01T12:13:00Z, 2011-01-01T12:13:00Z, Good, Raw, Double, 526.20
2011-01-01T12:13:10Z, 2011-01-01T12:13:10Z, Good, Raw, Double, 81.80
2011-01-01T12:13:20Z, 2011-01-01T12:13:20Z, Good, Raw, Double, 377.46
2011-01-01T12:13:30Z, 2011-01-01T12:13:30Z, Good, Raw, Double, 140.98
2011-01-01T12:13:40Z, 2011-01-01T12:13:40Z, Good, Raw, Double, 828.31
2011-01-01T12:13:50Z, 2011-01-01T12:13:50Z, Good, Raw, Double, 326.03
2011-01-01T12:14:00Z, 2011-01-01T12:14:00Z, Good, Raw, Double, 311.85
2011-01-01T12:14:10Z, 2011-01-01T12:14:10Z, Good, Raw, Double, 479.92
2011-01-01T12:14:20Z, 2011-01-01T12:14:20Z, Good, Raw, Double, 104.67
2011-01-01T12:14:30Z, 2011-01-01T12:14:30Z, Good, Raw, Double, 267.46
2011-01-01T12:14:40Z, 2011-01-01T12:14:40Z, Good, Raw, Double, 506.59
2011-01-01T12:14:50Z, 2011-01-01T12:14:50Z, Good, Raw, Double, 17.42
2011-01-01T12:15:00Z, 2011-01-01T12:15:00Z, Good, Raw, Double, 732.65
2011-01-01T12:15:10Z, 2011-01-01T12:15:10Z, Good, Raw, Double, 314.24
2011-01-01T12:15:20Z, 2011-01-01T12:15:20Z, Good, Raw, Double, 470.54
2011-01-01T12:15:30Z, 2011-01-01T12:15:30Z, Good, Raw, Double, 199.06
2011-01-01T12:15:40Z, 2011-01-01T12:15:40Z, Good, Raw, Double, 85.27
2011-01-01T12:15:50Z, 2011-01-01T12:15:50Z, Good, Raw, Double, 874.97
2011-01-01T12:16:00Z, 2011-01-01T12:16:00Z, Good, Raw, Double, 893.79
2011-01-01T12:16:10Z, 2011-01-01T12:16:10Z, Good, Raw, Double, 594.71
2011-01-01T12:16:20Z, 2011-01-01T12:16:20Z, Good, Raw, Double, 390.88
2011-01-01T12:16:30Z, 2011-01-01T12:16:30Z, Good, Raw, Double, 554.83
2011-01-01T12:16:40Z, 2011-01-01T12:16:40Z, Good, Raw, Double, 550.65
2011-01-01T12:16:50Z, 2011-01-01T12:16:50Z, Good, Raw, Double, 23.15
2011-01-01T12:17:00Z, 2011-01-01T12:17:00Z, Good, Raw, Double, 189.74
2011-01-01T12:17:10Z, 2011-01-01T12:17:10Z, Good, Raw, Double, 910.79
2011-01-01T12:17:20Z, 2011-01-01T12:17:20Z, Good, Raw, Double, 363.77
2011-01-01T12:17:30Z, 2011-01-01T12:17:30Z, Good, Raw, Double, 507.86
2011-01-01T12:17:40Z, 2011-01-01T12:17:40Z, Good, Raw, Double, 911.41
2011-01-01T12:17:50Z, 2011-01-01T12:17:50Z, Good, Raw, Double, 634.68
2011-01-01T12:18:00Z, 2011-01-01T12:18:00Z, Good, Raw, Double, 910.12
2011-01-01T12:18:10Z, 2011-01-01T12:18:10Z, Good, Raw, Double, 81.33
2011-01-01T12:18:20Z, 2011-01-01T12:18:20Z, Good, Raw, Double, 818.51
2011-01-01T12:18:30Z, 2011-01-01T12:18:30Z, Good, Raw, Double, 524.79
2011-01-01T12:18:40Z, 2011-01-01T12:18:40Z, Good, Raw, Double, 672.84
2011-01-01T12:18:50Z, 2011-01-01T12:18:50Z, Good, Raw, Double, 560.12
2011-01-01T12:19:00Z, 2011-01-01T12:19:00Z, Good, Raw, Double, 566.07
2011-01-01T12:19:10Z, 2011-01-01T12:19:10Z, Good, Raw, Double, 95.29
2011-01-01T12:19:20Z, 2011-01-01T12:19:20Z, Good, Raw, Double, 20.62
2011-01-01T12:19:30Z, 2011-01-01T12:19:30Z, Good, Raw, Double, 835.59
2011-01-01T12:19:40Z, 2011-01-01T12:19:40Z, Good, Raw, Double, 321.77
2011-01-01T12:19:50Z, 2011-01-01T12:19:50Z, Good, Raw, Double, 850.65
2011-01-01T12:20:00Z, 2011-01-01T12:20:00Z, Good, Raw, Double, 881.89
2011-01-01T12:20:10Z, 2011-01-01T12:20:10Z, Good, Raw, Double, 591.91
2011-01-01T12:20:20Z, 2011-01-01T12:20:20Z, Good, Raw, Double, 350.54
2011-01-01T12:20:30Z, 2011-01-01T12:20:30Z, Good, Raw, Double, 692.01
2011-01-01T12:20:40Z, 2011-01-01T12:20:40Z, Good, Raw, Double, 947.77
2011-01-01T12:20:50Z, 2011-01-01T12:20:50Z, Good, Raw, Double, 187.47
2011-01-01T12:21:00Z, 2011-01-01T12:21:00Z, Good, Raw, Double, 455.51
2011-01-01T12:21:10Z, 2011-01-01T12:21:10Z, Good, Raw, Double, 367.81
2011-01-01T12:21:20Z, 2011-01-01T12:21:20Z, Good, Raw, Double, 910.71
2011-01-01T12:21:30Z, 2011-01-01T12:21:30Z, Good, Raw, Double, 24.33
2011-01-01T12:21:40Z, 2011-01-01T12:21:40Z, Good, Raw, Double, 970.53
2011-01-01T12:21:50Z, 2011-01-01T12:21:50Z, Good, Raw, Double, 208.17
2011-01-01T12:22:00Z, 2011-01-01T12:22:00Z, Good, Raw, Double, 259.78
2011-01-01T12:22:10Z, 2011-01-01T12:22:10Z, Good, Raw, Double, 951.55
2011-01-01T12:22:20Z, 2011-01-01T12:22:20Z, Good, Raw, Double, 751.21
2011-01-01T12:22:30Z, 2011-01-01T12:22:30Z, Good, Raw, Double, 202.59
2011-01-01T12:22:40Z, 2011-01-01T12:22:40Z, Good, Raw, Double, 923.61
2011-01-01T12:22:50Z, 2011-01-01T12:22:50Z, Good, Raw, Double, 757.04
2011-01-01T12:23:00Z, 2011-01-01T12:23:00Z, Good, Raw, Double, 707.17
2011-01-01T12:23:10Z, 2011-01-01T12:23:10Z, Good, Raw, Double, 797.95
2011-01-01T12:23:20Z, 2011-01-01T12:23:20Z, Good, Raw, Double, 756.62
2011-01-01T12:23:30Z, 2011-01-01T12:23:30Z, Good, Raw, Double, 50.69
2011-01-01T12:23:40Z, 2011-01-01T12:23:40Z, Good, Raw, Double, 664.34
2011-01-01T12:23:50Z, 2011-01-01T12:23:50Z, Good, Raw, Double, 634.83
2011-01-01T12:24:00Z, 2011-01-01T12:24:00Z, Good, Raw, Double, 442.61
2011-01-01T12:24:10Z, 2011-01-01T12:24:10Z, Good, Raw, Double, 36.17
2011-01-01T12:24:20Z, 2011-01-01T12:24:20Z, Good, Raw, Double, 683.18
2011-01-01T12:24:30Z, 2011-01-01T12:24:30Z, Good, Raw, Double, 502.70
2011-01-01T12:24:40Z, 2011-01-01T12:24:40Z, Good, Raw, Double, 442.82
2011-01-01T12:24:50Z, 2011-01-01T12:24:50Z, Good, Raw, Double, 341.18
2011-01-01T12:25:00Z, 2011-01-01T12:25:00Z, Good, Raw, Double, 629.84
2011-01-01T12:25:10Z, 2011-01-01T12:25:10Z, Good, Raw, Double, 989.10
2011-01-01T12:25:20Z, 2011-01-01T12:25:20Z, Good, Raw, Double, 497.02
2011-01-01T12:25:30Z, 2011-01-01T12:25:30Z, Good, Raw, Double, 408.97
2011-01-01T12:25:40Z, 2011-01-01T12:25:40Z, Good, Raw, Double, 915.22
2011-01-01T12:25:50Z, 2011-01-01T12:25:50Z, Good, Raw, Double, 804.73
2011-01-01T12:26:00Z, 2011-01-01T12:26:00Z, Good, Raw, Double, 191.36
2011-01-01T12:26:10Z, 2011-01-01T12:26:10Z, Good, Raw, Double, 145.80
2011-01-01T12:26:20Z, 2011-01-01T12:26:20Z, Good, Raw, Double, 986.48
2011-01-01T12:26:30Z, 2011-01-01T12:26:30Z, Good, Raw, Double, 928.82
2011-01-01T12:26:40Z, 2011-01-01T12:26:40Z, Good, Raw, Double, 803.73
2011-01-01T12:26:50Z, 2011-01-01T12:26:50Z, Good, Raw, Double, 928.16
2011-01-01T12:27:00Z, 2011-01-01T12:27:00Z, Good, Raw, Double, 290.51
2011-01-01T12:27:10Z, 2011-01-01T12:27:10Z, Good, Raw, Double, 71.37
2011-01-01T12:27:20Z, 2011-01-01T12:27:20Z, Good, Raw, Double, 578.19
2011-01-01T12:27:30Z, 2011-01-01T12:27:30Z, Good, Raw, Double, 647.60
2011-01-01T12:27:40Z, 2011-01-01T12:27:40Z, Good, Raw, Double, 229.24
2011-01-01T12:27:50Z, 2011-01-01T12:27:50Z, Good, Raw, Double, 142.20
2011-01-01T12:28:00Z, 2011-01-01T12:28:00Z, Good, Raw, Double, 185.24
2011-01-01T12:28:10Z, 2011-01-01T12:28:10Z, Good, Raw, Double, 577.88
2011-01-01T12:28:20Z, 2011-01-01T12:28:20Z, Good, Raw, Double, 78.23
2011-01-01T12:28:30Z, 2011-01-01T12:28:30Z, Good, Raw, Double, 638.24
2011-01-01T12:28:40Z, 2011-01-01T12:28:40Z, Good, Raw, Double, 24.12
2011-01-01T12:28:50Z, 2011-01-01T12:28:50Z, Good, Raw, Double, 541.49
2011-01-01T12:29:00Z, 2011-01-01T12:29:00Z, Good, Raw, Double, 210.87
2011-01-01T12:29:10Z, 2011-01-01T12:29:10Z, Good, Raw, Double, 551.62
2011-01-01T12:29:20Z, 2011-01-01T12:29:20Z, Good, Raw, Double, 319.93
2011-01-01T12:29:30Z, 2011-01-01T12:29:30Z, Good, Raw, Double, 458.32
2011-01-01T12:29:40Z, 2011-01-01T12:29:40Z, Good, Raw, Double, 374.13
2011-01-01T12:29:50Z, 2011-01-01T12:29:50Z, Good, Raw, Double, 651.05
2011-01-01T12:30:00Z, 2011-01-01T12:30:00Z, Good, Raw, Double, 609.32
2011-01-01T12:30:10Z, 2011-01-01T12:30:10Z, Good, Raw, Double, 746.97
2011-01-01T12:30:20Z, 2011-01-01T12:30:20Z, Good, Raw, Double, 600.52
2011-01-01T12:30:30Z, 2011-01-01T12:30:30Z, Good, Raw, Double, 495.06
2011-01-01T12:30:40Z, 2011-01-01T12:30:40Z, Good, Raw, Double, 362.69
2011-01-01T12:30:50Z, 2011-01-01T12:30:50Z, Good, Raw, Double, 717.18
2011-01-01T12:31:00Z, 2011-01-01T12:31:00Z, Good, Raw, Double, 904.95
2011-01-01T12:31:10Z, 2011-01-01T12:31:10Z, Good, Raw, Double, 840.14
2011-01-01T12:31:20Z, 2011-01-01T12:31:20Z, Good, Raw, Double, 678.25
2011-01-01T12:31:30Z, 2011-01-01T12:31:30Z, Good, Raw, Double, 540.03
2011-01-01T12:31:40Z, 2011-01-01T12:31:40Z, Good, Raw, Double, 388.55
2011-01-01T12:31:50Z, 2011-01-01T12:31:50Z, Good, Raw, Double, 294.95
2011-01-01T12:32:00Z, 2011-01-01T12:32:00Z, Good, Raw, Double, 51.72
2011-01-01T12:32:10Z, 2011-01-01T12:32:10Z, Good, Raw, Double, 411.82
2011-01-01T12:32:20Z, 2011-01-01T12:32:20Z, Good, Raw, Double, 727.48
2011-01-01T12:32:30Z, 2011-01-01T12:32:30Z, Good, Raw, Double, 800.91
2011-01-01T12:32:40Z, 2011-01-01T12:32:40Z, Good, Raw, Double, 863.90
2011-01-01T12:32:50Z, 2011-01-01T12:32:50Z, Good, Raw, Double, 919.97
2011-01-01T12:33:00Z, 2011-01-01T12:33:00Z, Good, Raw, Double, 327.89
2011-01-01T12:33:10Z, 2011-01-01T12:33:10Z, Good, Raw, Double, 51.38
2011-01-01T12:33:20Z, 2011-01-01T12:33:20Z, Good, Raw, Double, 871.01
2011-01-01T12:33:30Z, 2011-01-01T12:33:30Z, Good, Raw, Double, 618.66
2011-01-01T12:33:40Z, 2011-01-01T12:33:40Z, Good, Raw, Double, 1.28
2011-01-01T12:33:50Z, 2011-01-01T12:33:50Z, Good, Raw, Double, 602.21
2011-01-01T12:34:00Z, 2011-01-01T12:34:00Z, Good, Raw, Double, 327.21
2011-01-01T12:34:10Z, 2011-01-01T12:34:10Z, Good, Raw, Double, 617.99
2011-01-01T12:34:20Z, 2011-01-01T12:34:20Z, Good, Raw, Double, 176.72
2011-01-01T12:34:30Z, 2011-01-01T12:34:30Z, Good, Raw, Double, 858.96
2011-01-01T12:34:40Z, 2011-01-01T12:34:40Z, Good, Raw, Double, 801.76
2011-01-01T12:34:50Z, 2011-01-01T12:34:50Z, Good, Raw, Double, 585.26
2011-01-01T12:35:00Z, 2011-01-01T12:35:00Z, Good, Raw, Double, 349.66
2011-01-01T12:35:10Z, 2011-01-01T12:35:10Z, Good, Raw, Double, 169.05
2011-01-01T12:35:20Z, 2011-01-01T12:35:20Z, Good, Raw, Double, 522.00
2011-01-01T12:35:30Z, 2011-01-01T12:35:30Z, Good, Raw, Double, 854.04
2011-01-01T12:35:40Z, 2011-01-01T12:35:40Z, Good, Raw, Double, 796.21
2011-01-01T12:35:50Z, 2011-01-01T12:35:50Z, Good, Raw, Double, 530.29
2011-01-01T12:36:00Z, 2011-01-01T12:36:00Z, Good, Raw, Double, 397.94
2011-01-01T12:36:10Z, 2011-01-01T12:36:10Z, Good, Raw, Double, 205.46
2011-01-01T12:36:20Z, 2011-01-01T12:36:20Z, Good, Raw, Double, 871.59
2011-01-01T12:36:30Z, 2011-01-01T12:36:30Z, Good, Raw, Double, 35.20
2011-01-01T12:36:40Z, 2011-01-01T12:36:40Z, Good, Raw, Double, 877.91
2011-01-01T12:36:50Z, 2011-01-01T12:36:50Z, Good, Raw, Double, 989.02
2011-01-01T12:37:00Z, 2011-01-01T12:37:00Z, Good, Raw, Double, 680.77
2011-01-01T12:37:10Z, 2011-01-01T12:37:10Z, Good, Raw, Double, 200.54
2011-01-01T12:37:20Z, 2011-01-01T12:37:20Z, Good, Raw, Double, 454.99
2011-01-01T12:37:30Z, 2011-01-01T12:37:30Z, Good, Raw, Double, 882.22
2011-01-01T12:37:40Z, 2011-01-01T12:37:40Z, Good, Raw, Double, 321.12
2011-01-01T12:37:50Z, 2011-01-01T12:37:50Z, Good, Raw, Double, 331.77
2011-01-01T12:38:00Z, 2011-01-01T12:38:00Z, Good, Raw, Double, 18.26
2011-01-01T12:38:10Z, 2011-01-01T12:38:10Z, Good, Raw, Double, 819.10
2011-01-01T12:38:20Z, 2011-01-01T12:38:20Z, Good, Raw, Double, 814.75
2011-01-01T12:38:30Z, 2011-01-01T12:38:30Z, Good, Raw, Double, 755.05
2011-01-01T12:38:40Z, 2011-01-01T12:38:40Z, Good, Raw, Double, 259.58
2011-01-01T12:38:50Z, 2011-01-01T12:38:50Z, Good, Raw, Double, 640.56
2011-01-01T12:39:00Z, 2011-01-01T12:39:00Z, Good, Raw, Double, 331.71
2011-01-01T12:39:10Z, 2011-01-01T12:39:10Z, Good, Raw, Double, 598.28
2011-01-01T12:39:20Z, 2011-01-01T12:39:20Z, Good, Raw, Double, 989.55
2011-01-01T12:39:30Z, 2011-01-01T12:39:30Z, Good, Raw, Double, 724.39
2011-01-01T12:39:40Z, 2011-01-01T12:39:40Z, Good, Raw, Double, 910.62
2011-01-01T12:39:50Z, 2011-01-01T12:39:50Z, Good, Raw, Double, 772.38
2011-01-01T12:40:00Z, 2011-01-01T12:40:00Z, Good, Raw, Double, 926.69
2011-01-01T12:40:10Z, 2011-01-01T12:40:10Z, Good, Raw, Double, 899.97
2011-01-01T12:40:20Z, 2011-01-01T12:40:20Z, Good, Raw, Double, 816.42
2011-01-01T12:40:30Z, 2011-01-01T12:40:30Z, Good, Raw, Double, 824.29
2011-01-01T12:40:40Z, 2011-01-01T12:40:40Z, Good, Raw, Double, 65.79
2011-01-01T12:40:50Z, 2011-01-01T12:40:50Z, Good, Raw, Double, 613.71
2011-01-01T12:41:00Z, 2011-01-01T12:41:00Z, Good, Raw, Double, 478.04
2011-01-01T12:41:10Z, 2011-01-01T12:41:10Z, Good, Raw, Double, 170.19
2011-01-01T12:41:20Z, 2011-01-01T12:41:20Z, Good, Raw, Double, 823.62
2011-01-01T12:41:30Z, 2011-01-01T12:41:30Z, Good, Raw, Double, 283.71
2011-01-01T12:41:40Z, 2011-01-01T12:41:40Z, Good, Raw, Double, 841.91
2011-01-01T12:41:50Z, 2011-01-01T12:41:50Z, Good, Raw, Double, 923.23
2011-01-01T12:42:00Z, 2011-01-01T12:42:00Z, Good, Raw, Double, 138.01
2011-01-01T12:42:10Z, 2011-01-01T12:42:10Z, Good, Raw, Double, 208.31
2011-01-01T12:42:20Z, 2011-01-01T12:42:20Z, Good, Raw, Double, 513.32
2011-01-01T12:42:30Z, 2011-01-01T12:42:30Z, Good, Raw, Double, 383.57
2011-01-01T12:42:40Z, 2011-01-01T12:42:40Z, Good, Raw, Double, 816.19
2011-01-01T12:42:50Z, 2011-01-01T12:42:50Z, Good, Raw, Double, 445.00
2011-01-01T12:43:00Z, 2011-01-01T12:43:00Z, Good, Raw, Double, 900.12
2011-01-01T12:43:10Z, 2011-01-01T12:43:10Z, Good, Raw, Double, 845.55
2011-01-01T12:43:20Z, 2011-01-01T12:43:20Z, Good, Raw, Double, 355.60
2011-01-01T12:43:30Z, 2011-01-01T12:43:30Z, Good, Raw, Double, 873.46
2011-01-01T12:43:40Z, 2011-01-01T12:43:40Z, Good, Raw, Double, 886.08
2011-01-01T12:43:50Z, 2011-01-01T12:43:50Z, Good, Raw, Double, 360.99
2011-01-01T12:44:00Z, 2011-01-01T12:44:00Z, Good, Raw, Double, 223.84
2011-01-01T12:44:10Z, 2011-01-01T12:44:10Z, Good, Raw, Double, 532.50
2011-01-01T12:44:20Z, 2011-01-01T12:44:20Z, Good, Raw, Double, 919.49
2011-01-01T12:44:30Z, 2011-01-01T12:44:30Z, Good, Raw, Double, 698.86
2011-01-01T12:44:40Z, 2011-01-01T12:44:40Z, Good, Raw, Double, 958.54
2011-01-01T12:44:50Z, 2011-01-01T12:44:50Z, Good, Raw, Double, 44.53
2011-01-01T12:45:00Z, 2011-01-01T12:45:00Z, Good, Raw, Double, 797.94
2011-01-01T12:45:10Z, 2011-01-01T12:45:10Z, Good, Raw, Double, 990.06
2011-01-01T12:45:20Z, 2011-01-01T12:45:20Z, Good, Raw, Double, 617.93
2011-01-01T12:45:30Z, 2011-01-01T12:45:30Z, Good, Raw, Double, 435.24
2011-01-01T12:45:40Z, 2011-01-01T12:45:40Z, Good, Raw, Double, 569.80
2011-01-01T12:45:50Z, 2011-01-01T12:45:50Z, Good, Raw, Double, 415.54
2011-01-01T12:46:00Z, 2011-01-01T12:46:00Z, Good, Raw, Double, 199.56
2011-01-01T12:46:10Z, 2011-01-01T12:46:10Z, Good, Raw, Double, 473.25
2011-01-01T12:46:20Z, 2011-01-01T12:46:20Z, Good, Raw, Double, 471.48
2011-01-01T12:46:30Z, 2011-01-01T12:46:30Z, Good, Raw, Double, 686.29
2011-01-01T12:46:40Z, 2011-01-01T12:46:40Z, Good, Raw, Double, 202.77
2011-01-01T12:46:50Z, 2011-01-01T12:46:50Z, Good, Raw, Double, 591.70
2011-01-01T12:47:00Z, 2011-01-01T12:47:00Z, Good, Raw, Double, 631.91
2011-01-01T12:47:10Z, 2011-01-01T12:47:10Z, Good, Raw, Double, 315.40
2011-01-01T12:47:20Z, 2011-01-01T12:47:20Z, Good, Raw, Double, 458.01
2011-01-01T12:47:30Z, 2011-01-01T12:47:30Z, Good, Raw, Double, 628.03
2011-01-01T12:47:40Z, 2011-01-01T12:47:40Z, Good, Raw, Double, 622.52
2011-01-01T12:47:50Z, 2011-01-01T12:47:50Z, Good, Raw, Double, 694.98
2011-01-01T12:48:00Z, 2011-01-01T12:48:00Z, Good, Raw, Double, 931.91
2011-01-01T12:48:10Z, 2011-01-01T12:48:10Z, Good, Raw, Double, 515.78
2011-01-01T12:48:20Z, 2011-01-01T12:48:20Z, Good, Raw, Double, 656.26
2011-01-01T12:48:30Z, 2011-01-01T12:48:30Z, Good, Raw, Double, 16.46
2011-01-01T12:48:40Z, 2011-01-01T12:48:40Z, Good, Raw, Double, 239.86
2011-01-01T12:48:50Z, 2011-01-01T12:48:50Z, Good, Raw, Double, 699.33
2011-01-01T12:49:00Z, 2011-01-01T12:49:00Z, Good, Raw, Double, 142.88
2011-01-01T12:49:10Z, 2011-01-01T12:49:10Z, Good, Raw, Double, 129.36
