Int32, -1, 10000, 0, 0, 0, 0, 0, 0, 0, 100, 100
2011-01-01T12:00:10Z, 2011-01-01T12:00:10Z, Good, Raw, Int32, 762
2011-01-01T12:11:10Z, 2011-01-01T12:11:10Z, Good, Raw, Int32, 1301
2011-01-01T12:11:20Z, 2011-01-01T12:11:20Z, Good, Raw, Int32, 215
2011-01-01T12:11:30Z, 2011-01-01T12:11:30Z, Good, Raw, Int32, 1387
2011-01-01T12:11:40Z, 2011-01-01T12:11:40Z, Good, Raw, Int32, 1410
2011-01-01T12:11:50Z, 2011-01-01T12:11:50Z, Good, Raw, Int32, 289
2011-01-01T12:12:00Z, 2011-01-01T12:12:00Z, Good, Raw, Int32, 1045
2011-01-01T12:12:10Z, 2011-01-01T12:12:10Z, Good, Raw, Int32, 391
2011-01-01T12:12:20Z, 2011-01-01T12:12:20Z, Good, Raw, Int32, 92
2011-01-01T12:12:30Z, 2011-01-01T12:12:30Z, Good, Raw, Int32, 380
2011-01-01T12:12:40Z, 2011-01-01T12:12:40Z, Good, Raw, Int32, 1878
2011-01-01T12:12:50Z, 2011-01-01T12:12:50Z, Good, Raw, Int32, 195
2011-01-01T12:13:00Z, 2011-01-01T12:13:00Z, Good, Raw, Int32, 1342
2011-01-01T12:13:10Z, 2011-01-01T12:13:10Z, Good, Raw, Int32, 529
2011-01-01T12:13:20Z, 2011-01-01T12:13:20Z, Good, Raw, Int32, 398
2011-01-01T12:13:30Z, 2011-01-01T12:13:30Z, Good, Raw, Int32, 907
2011-01-01T12:13:40Z, 2011-01-01T12:13:40Z, Good, Raw, Int32, 675
2011-01-01T12:13:50Z, 2011-01-01T12:13:50Z, Good, Raw, Int32, 986
2011-01-01T12:14:00Z, 2011-01-01T12:14:00Z, Good, Raw, Int32, 1371
2011-01-01T12:14:10Z, 2011-01-01T12:14:10Z, Good, Raw, Int32, 71
2011-01-01T12:14:20Z, 2011-01-01T12:14:20Z, Good, Raw, Int32, 711
2011-01-01T12:14:30Z, 2011-01-01T12:14:30Z, Good, Raw, Int32, 1731
2011-01-01T12:14:40Z, 2011-01-01T12:14:40Z, Good, Raw, Int32, 1439
2011-01-01T12:14:50Z, 2011-01-01T12:14:50Z, Good, Raw, Int32, 832
2011-01-01T12:15:00Z, 2011-01-01T12:15:00Z, Good, Raw, Int32, 741
2011-01-01T12:15:10Z, 2011-01-01T12:15:10Z, Good, Raw, Int32, 826
2011-01-01T12:15:20Z, 2011-01-01T12:15:20Z, Good, Raw, Int32, 1656
2011-01-01T12:15:30Z, 2011-01-01T12:15:30Z, Good, Raw, Int32, 1263
2011-01-01T12:15:40Z, 2011-01-01T12:15:40Z, Good, Raw, Int32, 1107
2011-01-01T12:15:50Z, 2011-01-01T12:15:50Z, Good, Raw, Int32, 568
2011-01-01T12:16:00Z, 2011-01-01T12:16:00Z, Good, Raw, Int32, 355
2011-01-01T12:16:10Z, 2011-01-01T12:16:10Z, Good, Raw, Int32, 618
2011-01-01T12:16:20Z, 2011-01-01T12:16:20Z, Good, Raw, Int32, 112
2011-01-01T12:16:30Z, 2011-01-01T12:16:30Z, Good, Raw, Int32, 1488
2011-01-01T12:16:40Z, 2011-01-01T12:16:40Z, Good, Raw, Int32, 470
2011-01-01T12:16:50Z, 2011-01-01T12:16:50Z, Good, Raw, Int32, 1708
2011-01-01T12:17:00Z, 2011-01-01T12:17:00Z, Good, Raw, Int32, 470
2011-01-01T12:17:10Z, 2011-01-01T12:17:10Z, Good, Raw, Int32, 1306
2011-01-01T12:17:20Z, 2011-01-01T12:17:20Z, Good, Raw, Int32, 102
2011-01-01T12:17:30Z, 2011-01-01T12:17:30Z, Good, Raw, Int32, 1116
2011-01-01T12:17:40Z, 2011-01-01T12:17:40Z, Good, Raw, Int32, 1514
2011-01-01T12:17:50Z, 2011-01-01T12:17:50Z, Good, Raw, Int32, 490
2011-01-01T12:18:00Z, 2011-01-01T12:18:00Z, Good, Raw, Int32, 932
2011-01-01T12:18:10Z, 2011-01-01T12:18:10Z, Good, Raw, Int32, 1317
2011-01-01T12:18:20Z, 2011-01-01T12:18:20Z, Good, Raw, Int32, 16
2011-01-01T12:18:30Z, 2011-01-01T12:18:30Z, Good, Raw, Int32, 1075
2011-01-01T12:18:40Z, 2011-01-01T12:18:40Z, Good, Raw, Int32, 603
2011-01-01T12:18:50Z, 2011-01-01T12:18:50Z, Good, Raw, Int32, 1940
2011-01-01T12:19:00Z, 2011-01-01T12:19:00Z, Good, Raw, Int32, 1815
2011-01-01T12:19:10Z, 2011-01-01T12:19:10Z, Good, Raw, Int32, 885
2011-01-01T12:19:20Z, 2011-01-01T12:19:20Z, Good, Raw, Int32, 987
